,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
0,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
1,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
2,Gitana-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
3,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
4,Cornwall,GBR,1908 Summer,1908,Summer,London,Rugby,Rugby Men's Rugby,Silver
5,St. Louis Amateur Athletic Association,USA,1904 Summer,1904,Summer,St. Louis,Lacrosse,Lacrosse Men's Lacrosse,Silver
6,Brussels Swimming and Water Polo Club,BEL,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Silver
8,Denmark,DEN,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,Silver
9,Denmark,DEN,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Double Sculls,Silver
10,Hi-Hi,DEN,1928 Summer,1928,Summer,Amsterdam,Sailing,Sailing Mixed 6 metres,Silver
11,Norway,NOR,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
12,Denmark,DEN,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Gold
13,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
14,Denmark,DEN,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze
15,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
17,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Butterfly,Gold
18,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Butterfly,Silver
19,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
20,Finland,FIN,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",Gold
21,Finland,FIN,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Bronze
22,Finland,FIN,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
23,Finland,FIN,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
24,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
25,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
26,New Zealand,NZL,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
27,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's Windsurfer,Bronze
28,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
29,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold
30,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
31,United States,USA,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
32,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
33,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,Gold
34,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Backstroke,Gold
35,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
36,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,Gold
37,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
38,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Backstroke,Silver
39,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Silver
41,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,Bronze
42,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
43,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
44,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
45,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
46,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
47,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,Gold
48,Iran,IRI,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
49,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
50,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
51,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,Bronze
52,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze
53,Egypt,EGY,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
54,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze
55,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Flyweight,Bronze
56,France,FRA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
57,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's High Jump,Bronze
58,Italy,ITA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 50 kilometres Walk,Bronze
59,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,Gold
60,Niger,NIG,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Silver
61,France,FRA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 200 metres,Bronze
62,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
63,Pakistan,PAK,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Silver
64,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
65,Pakistan,PAK,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Bronze
66,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold
67,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Silver
68,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
70,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight,Bronze
71,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
72,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze
73,Iran,IRI,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
74,Saudi Arabia,KSA,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
75,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
76,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Heavyweight,Silver
77,Ethiopia,ETH,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Marathon,Gold
78,Ethiopia,ETH,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Marathon,Gold
79,Kenya,KEN,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
80,Kenya,KEN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,Silver
81,Argentina,ARG,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,Bronze
82,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 3,000 metres, Team",Gold
83,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 1,500 metres",Silver
84,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold
85,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Team",Gold
86,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's epee, Team",Gold
87,Italy,ITA,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's Sabre, Team",Silver
88,India,IND,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
89,United States,USA,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Silver
90,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Gold
91,Netherlands,NED,1948 Summer,1948,Summer,London,Weightlifting,Weightlifting Men's Heavyweight,Bronze
92,Denmark,DEN,1932 Summer,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
93,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Men's Individual Time Trial,Silver
94,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Gold
95,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Gold
96,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Fours,Bronze
97,Iran,IRI,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
98,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Lightweight,Bronze
100,France,FRA,1928 Summer,1928,Summer,Amsterdam,Water Polo,Water Polo Men's Water Polo,Bronze
101,France,FRA,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Bronze
102,Italy,ITA,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,Gold
103,Germany,GER,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Single Sculls,Silver
104,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Single Sculls,Silver
105,Mexico,MEX,2012 Summer,2012,Summer,London,Archery,Archery Women's Individual,Silver
106,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Bronze
107,Latvia,LAT,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 50 kilometres Walk,Bronze
108,Poland,POL,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Team",Silver
109,Poland,POL,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Team",Bronze
110,Poland,POL,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Foil, Team",Silver
111,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's All-Around Championship,Silver
112,Poland,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
113,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
114,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
115,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Curling,Curling Men's Curling,Gold
116,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,Gold
117,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
118,Poland,POL,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze
119,Poland,POL,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Silver
120,Poland,POL,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
121,Poland,POL,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Silver
122,Canada,CAN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
123,Canada,CAN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
124,Canada,CAN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
125,Canada,CAN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
126,Australia,AUS,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Trap,Bronze
127,Russia,RUS,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
128,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
129,Poland,POL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
130,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Shot Put,Gold
131,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Shot Put,Silver
132,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Team",Bronze
133,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
135,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
136,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
137,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
138,Poland,POL,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Team",Bronze
139,Poland,POL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
140,Poland,POL,1956 Summer,1956,Summer,Melbourne,Shooting,Shooting Men's Trap,Silver
141,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Team",Bronze
142,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Bronze
143,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Fours,Bronze
144,Poland,POL,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Jumping, Individual",Bronze
145,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
146,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
147,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
148,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
149,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
150,Germany,GER,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Team",Bronze
151,Germany,GER,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Individual",Gold
152,Russia,RUS,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Women's Singles,Gold
153,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
154,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
155,Turkey,TUR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
156,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
157,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
158,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
159,Uruguay,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze
160,Uruguay,URU,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,Gold
161,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Triple Jump,Gold
162,Brazil,BRA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Triple Jump,Gold
163,Cuba,CUB,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold
164,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Silver
165,Turkey,TUR,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
166,Turkey,TUR,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
167,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,Silver
168,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,Silver
169,Czech Republic,CZE,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
170,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
171,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Bronze
172,Austria,AUT,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
173,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
174,Netherlands,NED,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
175,Netherlands,NED,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
176,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
177,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Rowing,Rowing Men's Coxed Eights,Bronze
178,Austria,AUT,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
179,Austria,AUT,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Silver
180,Austria,AUT,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,Silver
181,Favorite Hammonia-3,GER,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Bronze
182,Switzerland,SUI,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
183,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
184,West Germany,FRG,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
185,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
186,Switzerland,SUI,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
187,Switzerland,SUI,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",Gold
188,Frankfurt Club,GER,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
189,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
190,Germany,GER,1936 Summer,1936,Summer,Berlin,Weightlifting,Weightlifting Men's Middleweight,Bronze
191,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around,Silver
192,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Silver
193,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Silver
194,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,Bronze
195,Italy,ITA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Discus Throw,Gold
196,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Discus Throw,Silver
197,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Featherweight,Silver
198,Italy,ITA,1912 Summer,1912,Summer,Stockholm,Gymnastics,Gymnastics Men's Team All-Around,Gold
199,United States,USA,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Backstroke,Gold
200,Socit Nautique de Bayonne-1,FRA,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Coxed Pairs (1 mile),Bronze
201,Socit Nautique de Bayonne-2,FRA,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Coxed Fours,Bronze
202,Racing Club de France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver
203,France,FRA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
204,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,Bronze
205,France,FRA,1920 Summer,1920,Summer,Antwerpen,Rugby,Rugby Men's Rugby,Silver
208,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Silver
209,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
210,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
211,Romania,ROU,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,Bronze
212,Romania,ROU,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,Bronze
213,Romania,ROU,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Silver
214,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Breaststroke,Gold
215,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
216,Poland,POL,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
217,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
218,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed 5.5 metres,Bronze
219,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
220,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver
221,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver
222,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
223,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
224,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
225,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Bronze
226,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
227,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
229,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
230,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
231,Brazil,BRA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
232,Venezuela,VEN,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Heavyweight,Bronze
233,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,Bronze
234,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Silver
235,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights,Silver
236,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Silver
237,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Lightweight,Bronze
238,Netherlands,NED,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,500 metres",Silver
239,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
240,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
241,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
242,Italy-1,ITA,1972 Winter,1972,Winter,Sapporo,Bobsleigh,Bobsleigh Men's Four,Silver
243,Netherlands,NED,1920 Summer,1920,Summer,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold
245,Netherlands,NED,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",Bronze
246,Netherlands,NED,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Team",Bronze
247,Netherlands,NED,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Sabre, Individual",Bronze
248,Netherlands,NED,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Sabre, Team",Bronze
249,Netherlands,NED,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",Bronze
250,Netherlands,NED,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,Bronze
251,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
252,Bem II,NED,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed Two Person Keelboat,Bronze
253,Starita,NED,1948 Summer,1948,Summer,London,Sailing,Sailing Mixed Two Person Keelboat,Bronze
254,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Sailing,Sailing Mixed One Person Dinghy,Silver
